Date,Item,Quantity,Unit Price,Total Price,Payment Method,Customer Type,Loyalty Member,Order Type,Tip Amount,Discount Applied,Discount Amount,Barista Name,Prep Time (min),Category,Sub-Category,Weather,Event Day,Gift Card Used,Mobile App Order,Month
1/04/2025,Latte,1,4.5,5.86,Cash,New,Yes,,,,,Alex,2,Drink,Hot Drink,Cloudy,No,No,Yes,2025-04
1/04/2025,Iced Latte,3,5,16.9,Credit Card,Regular,Yes,,,,,Alex,5,Drink,Cold Drink,Sunny,No,No,No,2025-04
1/04/2025,Latte,1,4.5,4.48,,Regular,Yes,,,,,Alex,2,Drink,Hot Drink,Rainy,No,Yes,No,2025-04
1/04/2025,Chai Latte,3,4.75,15.2,Cash,Regular,No,,,,,Alex,2,Drink,Hot Drink,Rainy,No,Yes,Yes,2025-04
1/04/2025,Bagel,3,2.5,6.13,Credit Card,Regular,No,Delivery,0.48,Yes,1.85,Sam,7,Food,Sandwich,Rainy,Yes,No,No,2025-04
1/04/2025,Latte,3,4.5,13.18,Mobile Pay,New,No,Dine-In,0.48,Yes,0.8,Sam,3,Drink,Hot Drink,Rainy,No,No,No,2025-04
1/04/2025,Americano,2,3.5,7.2,Mobile Pay,Regular,Yes,Takeaway,0.2,No,0,Alex,7,Drink,Hot Drink,Cloudy,No,Yes,Yes,2025-04
1/04/2025,Cold Brew,3,5,14.61,Cash,Regular,Yes,Dine-In,1.4,Yes,1.79,Sam,3,Drink,Cold Drink,Cloudy,No,Yes,No,2025-04
1/04/2025,Iced Latte,2,5,10.63,Cash,New,No,Delivery,0.63,No,0,Jamie,6,,,,,No,No,2025-04
1/04/2025,Cappuccino,3,4.25,13.12,Cash,Regular,No,Takeaway,0.37,No,0,Sam,2,,,,,Yes,Yes,2025-04
1/04/2025,Americano,2,3.5,7.11,Credit Card,New,No,Delivery,0.93,Yes,0.82,Sam,6,,,,,,No,2025-04
1/04/2025,Croissant,1,3,1.56,Mobile Pay,Regular,No,Takeaway,0.09,Yes,1.53,Alex,5,Food,Pastry,Rainy,No,No,No,2025-04
1/04/2025,Iced Latte,1,5,5.39,Credit Card,New,Yes,Takeaway,0.39,No,0,Alex,3,Drink,Cold Drink,Sunny,No,Yes,Yes,2025-04
1/04/2025,Muffin,3,2.75,7.05,Mobile Pay,New,Yes,Dine-In,0.54,Yes,1.74,Sam,3,Food,Pastry,Cloudy,Yes,No,No,2025-04
1/04/2025,Latte,2,4.5,9.95,Credit Card,New,,Dine-In,1.6,Yes,0.65,Sam,2,Drink,Hot Drink,Sunny,No,No,No,2025-04
1/04/2025,Chai Latte,3,4.75,13.63,Credit Card,Regular,No,Delivery,0.45,Yes,1.07,Jamie,6,Drink,Hot Drink,Rainy,No,Yes,No,2025-04
1/04/2025,Espresso,1,3,1.73,Credit Card,Regular,Yes,Takeaway,0.05,Yes,1.32,Alex,6,Drink,Hot Drink,Sunny,No,Yes,Yes,2025-04
1/04/2025,Chai Latte,,4.75,9.66,Credit Card,New,,Takeaway,0.72,Yes,0.56,Jamie,7,Drink,Hot Drink,Sunny,Yes,No,No,2025-04
1/04/2025,Croissant,2,3,7.96,Cash,New,Yes,Takeaway,1.96,No,0,Alex,5,Food,Pastry,,No,No,No,2025-04
1/04/2025,Iced Latte,3,5,15.37,Credit Card,Regular,Yes,Takeaway,0.37,No,0,,6,Drink,Cold Drink,Rainy,No,No,No,2025-04
1/04/2025,Bagel,2,2.5,6.32,Credit Card,New,Yes,Takeaway,1.32,No,0,Alex,5,Food,Sandwich,Rainy,No,No,No,2025-04
1/04/2025,Flat White,2,4.25,8.09,Cash,New,Yes,Takeaway,0.34,Yes,0.75,Jamie,5,Drink,Hot Drink,Rainy,No,No,Yes,2025-04
1/04/2025,Flat White,3,4.25,14.68,Mobile Pay,New,Yes,Delivery,1.93,No,0,Sam,7,Drink,Hot Drink,Rainy,No,No,Yes,2025-04
1/04/2025,Flat White,3,4.25,13.01,Credit Card,Regular,No,Takeaway,0.26,No,0,Jamie,5,Drink,Hot Drink,Sunny,,No,Yes,2025-04
1/04/2025,Espresso,3,3,10.27,Credit Card,Regular,No,Dine-In,1.27,No,0,Jamie,2,Drink,Hot Drink,Rainy,No,No,Yes,2025-04
1/04/2025,Americano,,3.5,9.88,Cash,New,Yes,Dine-In,0.2,Yes,0.82,Sam,4,Drink,Hot Drink,Rainy,No,Yes,No,2025-04
1/04/2025,Cold Brew,1,5,5.18,Cash,New,No,Takeaway,0.18,No,0,Sam,2,Drink,Cold Drink,Sunny,No,Yes,Yes,2025-04
1/04/2025,Americano,1,3.5,4.01,Credit Card,New,No,Dine-In,1.19,Yes,0.68,Alex,5,Drink,Hot Drink,Sunny,No,Yes,No,2025-04
1/04/2025,Latte,1,4.5,5.09,Mobile Pay,Regular,,Delivery,1.98,Yes,1.39,Sam,4,Drink,Hot Drink,Sunny,No,No,Yes,2025-04
1/04/2025,Flat White,3,4.25,13.79,Credit Card,Regular,Yes,Takeaway,1.04,No,0,Sam,6,Drink,Hot Drink,Rainy,No,No,No,2025-04
1/04/2025,Bagel,2,2.5,5.48,Cash,Regular,No,Delivery,0.48,No,0,Jamie,5,Food,Sandwich,Rainy,No,Yes,No,2025-04
1/04/2025,Flat White,3,4.25,13.04,Cash,Regular,No,Delivery,0.29,No,0,Jamie,7,Drink,Hot Drink,Rainy,No,Yes,No,2025-04
1/04/2025,Muffin,3,2.75,8.37,Cash,New,Yes,Dine-In,1.92,Yes,1.8,Sam,5,Food,Pastry,Sunny,Yes,No,Yes,2025-04
1/04/2025,Croissant,1,3,,,,,,,,,,,,,,,,No,2025-04
1/04/2025,Cold Brew,1,5,,,,,,,,,,,,,,,,No,2025-04
1/04/2025,Muffin,2,2.75,,,,,,,,,,,,,,,,No,2025-04
1/04/2025,Flat White,1,4.25,,,,,,,,,,,,,,,,No,2025-04
1/04/2025,Bagel,2,2.5,,,,,,,,,,,,,,,,Yes,2025-04
1/04/2025,Croissant,2,3,,,,,,,,,,,,,,,,Yes,2025-04
1/04/2025,Bagel,3,2.5,,,,,,,,,,,,,,,,No,2025-04
1/04/2025,Cappuccino,1,4.25,,,,,,,,,,,,,,,,No,2025-04
1/04/2025,Americano,1,3.5,,,,,,,,,,,,,,,,No,2025-04
2/04/2025,Cold Brew,2,5,10.3,Mobile Pay,Regular,Yes,Delivery,0.3,No,0,Sam,2,Drink,Cold Drink,Sunny,No,No,Yes,2025-04
2/04/2025,Latte,1,4.5,3,Cash,Regular,Yes,Delivery,0.32,Yes,1.82,Alex,3,Drink,Hot Drink,Rainy,No,Yes,Yes,2025-04
2/04/2025,Bagel,3,2.5,6.31,Credit Card,Regular,No,Dine-In,0.53,Yes,1.72,Jamie,3,Food,Sandwich,Sunny,No,Yes,No,2025-04
2/04/2025,Croissant,3,3,9.28,Credit Card,Regular,No,Delivery,0.28,No,0,Alex,3,Food,Pastry,Cloudy,No,Yes,Yes,2025-04
2/04/2025,Cappuccino,1,4.25,5.74,Credit Card,New,No,Delivery,1.49,No,0,Jamie,2,Drink,Hot Drink,Sunny,No,No,No,2025-04
2/04/2025,Americano,3,3.5,10.29,Mobile Pay,New,Yes,Delivery,1.76,Yes,1.97,Alex,7,Drink,Hot Drink,Sunny,No,No,No,2025-04
2/04/2025,Latte,3,4.5,13.8,Cash,Regular,Yes,Dine-In,1.56,Yes,1.26,Sam,3,Drink,Hot Drink,Rainy,No,Yes,No,2025-04
2/04/2025,Iced Latte,2,5,11.7,Mobile Pay,Regular,No,Takeaway,1.7,No,0,Sam,2,Drink,Cold Drink,Cloudy,No,Yes,No,2025-04
2/04/2025,Iced Latte,2,5,8.68,Mobile Pay,Regular,No,Delivery,0.66,Yes,1.98,Jamie,3,Drink,Cold Drink,Sunny,No,Yes,Yes,2025-04
2/04/2025,Croissant,1,3,3.62,Mobile Pay,New,Yes,Takeaway,1.91,Yes,1.29,Jamie,2,Food,Pastry,Cloudy,Yes,No,No,2025-04
2/04/2025,Chai Latte,1,4.75,5.55,Cash,Regular,No,Delivery,1.57,Yes,0.77,Alex,2,Drink,Hot Drink,Cloudy,No,No,Yes,2025-04
2/04/2025,Americano,1,3.5,4.47,Cash,New,Yes,Takeaway,0.97,No,0,Jamie,7,Drink,Hot Drink,Sunny,No,No,Yes,2025-04
2/04/2025,Cold Brew,2,5,10.7,Credit Card,New,No,Dine-In,1.96,Yes,1.26,Sam,5,Drink,Cold Drink,Rainy,No,No,Yes,2025-04
2/04/2025,Bagel,1,2.5,3.66,Credit Card,Regular,Yes,Takeaway,1.16,No,0,Alex,2,Food,Sandwich,Cloudy,No,No,No,2025-04
2/04/2025,Muffin,1,2.75,3.84,Cash,Regular,No,Takeaway,1.09,No,0,Alex,3,Food,Pastry,Rainy,No,No,Yes,2025-04
2/04/2025,Muffin,1,2.75,1.98,Cash,Regular,Yes,Dine-In,0.85,Yes,1.62,Jamie,5,Food,Pastry,Rainy,No,Yes,No,2025-04
2/04/2025,Chai Latte,1,4.75,5.35,Mobile Pay,Regular,Yes,Takeaway,1.74,Yes,1.14,Alex,2,Drink,Hot Drink,Sunny,Yes,Yes,No,2025-04
2/04/2025,Croissant,1,3,4.62,Credit Card,New,No,Takeaway,1.62,No,0,Alex,2,Food,Pastry,Sunny,No,Yes,No,2025-04
2/04/2025,Chai Latte,3,4.75,13.9,Cash,Regular,No,Takeaway,0.54,Yes,0.89,Sam,2,Drink,Hot Drink,Cloudy,No,No,Yes,2025-04
2/04/2025,Chai Latte,2,4.75,9.2,Mobile Pay,Regular,No,Takeaway,1.58,Yes,1.88,Sam,3,Drink,Hot Drink,Cloudy,No,Yes,No,2025-04
2/04/2025,Iced Latte,3,5,16.67,Cash,Regular,No,Delivery,1.67,No,0,Sam,4,Drink,Cold Drink,Rainy,No,No,No,2025-04
2/04/2025,Mocha,3,4.75,15.84,Mobile Pay,New,Yes,Delivery,1.59,No,0,Alex,3,Drink,Hot Drink,Rainy,No,Yes,Yes,2025-04
2/04/2025,Flat White,3,4.25,13.05,Cash,New,Yes,Delivery,1.3,Yes,1,Sam,7,Drink,Hot Drink,Sunny,No,No,Yes,2025-04
2/04/2025,Mocha,2,4.75,10.51,Cash,New,No,Takeaway,1.01,No,0,Jamie,6,Drink,Hot Drink,Sunny,No,Yes,Yes,2025-04
2/04/2025,Bagel,2,2.5,4.7,Mobile Pay,Regular,No,Dine-In,1.44,Yes,1.74,Alex,4,Food,Sandwich,Rainy,No,No,Yes,2025-04
2/04/2025,Flat White,2,4.25,10.05,Mobile Pay,New,Yes,Delivery,1.55,No,0,Jamie,3,Drink,Hot Drink,Sunny,No,Yes,Yes,2025-04
2/04/2025,Cappuccino,2,4.25,10.25,Cash,New,No,Dine-In,1.75,No,0,Alex,7,Drink,Hot Drink,Sunny,No,Yes,No,2025-04
2/04/2025,Flat White,3,4.25,12.36,Credit Card,New,Yes,Delivery,0.59,Yes,0.98,Jamie,5,Drink,Hot Drink,Rainy,No,No,Yes,2025-04
2/04/2025,Mocha,3,4.75,13.41,Credit Card,Regular,Yes,Dine-In,0.66,Yes,1.5,Sam,6,Drink,Hot Drink,Rainy,No,No,Yes,2025-04
2/04/2025,Muffin,2,2.75,5.85,Mobile Pay,Regular,No,Takeaway,0.35,No,0,Alex,6,Food,Pastry,Rainy,No,Yes,Yes,2025-04
2/04/2025,Muffin,1,2.75,3.98,Mobile Pay,New,Yes,Takeaway,1.23,No,0,Alex,4,Food,Pastry,Sunny,No,Yes,Yes,2025-04
2/04/2025,Iced Latte,2,5,10.58,Mobile Pay,Regular,No,Delivery,0.58,No,0,Sam,2,Drink,Cold Drink,Cloudy,No,No,No,2025-04
2/04/2025,Cappuccino,2,4.25,8.87,Credit Card,New,Yes,Dine-In,0.95,Yes,0.58,Alex,6,Drink,Hot Drink,Sunny,No,No,No,2025-04
2/04/2025,Cold Brew,2,5,10.72,Mobile Pay,Regular,Yes,Dine-In,0.72,No,0,Alex,6,Drink,Cold Drink,Sunny,No,No,No,2025-04
2/04/2025,Muffin,2,2.75,7.44,Mobile Pay,Regular,Yes,Dine-In,1.94,No,0,Sam,7,Food,Pastry,Sunny,No,Yes,Yes,2025-04
2/04/2025,Cold Brew,3,5,15.92,Credit Card,Regular,Yes,Dine-In,1.68,Yes,0.76,Sam,2,Drink,Cold Drink,Sunny,No,Yes,Yes,2025-04
2/04/2025,Americano,1,3.5,5.48,Cash,New,Yes,Delivery,1.98,No,0,Sam,3,Drink,Hot Drink,Cloudy,No,Yes,No,2025-04
2/04/2025,Muffin,2,2.75,5.47,Mobile Pay,New,Yes,Delivery,0.78,Yes,0.81,Sam,2,Food,Pastry,Sunny,No,No,No,2025-04
3/04/2025,Cold Brew,1,5,5.36,Cash,New,Yes,Delivery,1.5,Yes,1.14,Jamie,3,Drink,Cold Drink,Sunny,No,No,Yes,2025-04
3/04/2025,Croissant,1,3,3.99,Credit Card,New,No,Delivery,0.99,No,0,Alex,6,Food,Pastry,Cloudy,No,No,Yes,2025-04
3/04/2025,Croissant,3,3,10.1,Mobile Pay,New,No,Delivery,1.65,Yes,0.55,Alex,7,Food,Pastry,Sunny,No,Yes,No,2025-04
3/04/2025,Latte,1,4.5,3.84,Credit Card,New,Yes,Takeaway,1,Yes,1.66,Alex,5,Drink,Hot Drink,Sunny,Yes,Yes,No,2025-04
3/04/2025,Espresso,2,3,6.07,Credit Card,Regular,No,Takeaway,1.01,Yes,0.94,Alex,7,Drink,Hot Drink,Cloudy,No,Yes,No,2025-04
3/04/2025,Cappuccino,3,4.25,11.57,Credit Card,New,No,Delivery,0.09,Yes,1.27,Alex,4,Drink,Hot Drink,Sunny,No,Yes,No,2025-04
3/04/2025,Croissant,1,3,2.64,Cash,Regular,Yes,Dine-In,1.46,Yes,1.82,Alex,5,Food,Pastry,Rainy,Yes,No,No,2025-04
3/04/2025,Mocha,3,4.75,15.54,Mobile Pay,New,No,Takeaway,1.29,No,0,Jamie,4,Drink,Hot Drink,Rainy,No,No,Yes,2025-04
3/04/2025,Espresso,3,3,9.53,Cash,Regular,Yes,Takeaway,0.53,No,0,Jamie,5,Drink,Hot Drink,Cloudy,No,No,No,2025-04
3/04/2025,Americano,1,3.5,1.97,Credit Card,Regular,Yes,Takeaway,0.01,Yes,1.54,Sam,3,Drink,Hot Drink,Cloudy,Yes,No,No,2025-04
3/04/2025,Flat White,3,4.25,14.42,Cash,New,No,Dine-In,1.67,No,0,Sam,4,Drink,Hot Drink,Rainy,Yes,Yes,Yes,2025-04
3/04/2025,Latte,1,4.5,3.57,Cash,New,No,Takeaway,0,Yes,0.93,Alex,2,Drink,Hot Drink,Sunny,No,Yes,No,2025-04
3/04/2025,Mocha,2,4.75,11.22,Mobile Pay,New,No,Takeaway,1.72,No,0,Alex,6,Drink,Hot Drink,Rainy,No,Yes,No,2025-04
3/04/2025,Cappuccino,1,4.25,4.64,Mobile Pay,Regular,No,Dine-In,0.39,No,0,Alex,2,Drink,Hot Drink,Sunny,No,No,Yes,2025-04
3/04/2025,Cappuccino,2,4.25,9.44,Cash,New,No,Delivery,0.94,No,0,Alex,2,Drink,Hot Drink,Sunny,No,No,Yes,2025-04
3/04/2025,Cappuccino,1,4.25,6.02,Credit Card,Regular,Yes,Dine-In,1.77,No,0,Jamie,6,Drink,Hot Drink,Cloudy,No,Yes,No,2025-04
3/04/2025,Chai Latte,1,4.75,6.53,Mobile Pay,Regular,No,Dine-In,1.78,No,0,Alex,4,Drink,Hot Drink,Sunny,No,Yes,No,2025-04
3/04/2025,Cappuccino,1,4.25,4.39,Mobile Pay,New,Yes,Dine-In,0.14,No,0,Jamie,3,Drink,Hot Drink,Rainy,No,No,Yes,2025-04
3/04/2025,Bagel,2,2.5,5.27,Cash,New,Yes,Delivery,1.77,Yes,1.5,Sam,2,Food,Sandwich,Sunny,No,Yes,No,2025-04
3/04/2025,Muffin,2,2.75,6.06,Credit Card,New,No,Dine-In,0.56,No,0,Alex,4,Food,Pastry,Sunny,Yes,No,Yes,2025-04
3/04/2025,Cold Brew,2,5,11.34,Mobile Pay,Regular,No,Takeaway,1.34,No,0,Alex,3,Drink,Cold Drink,Sunny,Yes,No,Yes,2025-04
3/04/2025,Mocha,2,4.75,7.91,Credit Card,Regular,Yes,Delivery,0.01,Yes,1.6,Jamie,4,Drink,Hot Drink,Rainy,No,Yes,Yes,2025-04
3/04/2025,Mocha,3,4.75,14.47,Credit Card,Regular,Yes,Delivery,0.22,No,0,Sam,3,Drink,Hot Drink,Rainy,No,No,Yes,2025-04
3/04/2025,Flat White,2,4.25,7.05,Credit Card,New,No,Dine-In,0.25,Yes,1.7,Sam,3,Drink,Hot Drink,Cloudy,No,No,No,2025-04
3/04/2025,Croissant,1,3,4.06,Credit Card,New,No,Delivery,1.06,No,0,Jamie,4,Food,Pastry,Rainy,No,Yes,Yes,2025-04
3/04/2025,Iced Latte,2,5,10.28,Cash,New,No,Takeaway,0.28,No,0,Jamie,2,Drink,Cold Drink,Rainy,No,Yes,No,2025-04
3/04/2025,Muffin,2,2.75,5.78,Mobile Pay,Regular,No,Delivery,1.88,Yes,1.6,Sam,7,Food,Pastry,Rainy,No,Yes,Yes,2025-04
3/04/2025,Bagel,3,2.5,8.32,Mobile Pay,New,Yes,Takeaway,0.82,No,0,Alex,2,Food,Sandwich,Rainy,No,No,No,2025-04
3/04/2025,Bagel,2,2.5,5.12,Mobile Pay,New,Yes,Takeaway,1.92,Yes,1.8,Jamie,4,Food,Sandwich,Sunny,No,Yes,No,2025-04
3/04/2025,Bagel,3,2.5,6.31,Credit Card,Regular,No,Takeaway,0.19,Yes,1.38,Jamie,3,Food,Sandwich,Sunny,No,Yes,No,2025-04
3/04/2025,Cold Brew,1,5,4.36,Credit Card,New,Yes,Takeaway,0.53,Yes,1.17,Sam,5,Drink,Cold Drink,Cloudy,No,No,No,2025-04
4/04/2025,Cold Brew,2,5,11.46,Credit Card,Regular,Yes,Dine-In,1.46,No,0,Alex,2,Drink,Cold Drink,Rainy,No,Yes,No,2025-04
4/04/2025,Muffin,3,2.75,8.27,Credit Card,Regular,Yes,Dine-In,0.02,No,0,Sam,5,Food,Pastry,Cloudy,No,Yes,No,2025-04
4/04/2025,Iced Latte,1,5,4.66,Mobile Pay,New,Yes,Delivery,1.53,Yes,1.87,Sam,2,Drink,Cold Drink,Sunny,No,No,No,2025-04
4/04/2025,Croissant,1,3,4.89,Cash,New,No,Delivery,1.89,No,0,Sam,5,Food,Pastry,Rainy,No,No,Yes,2025-04
4/04/2025,Latte,3,4.5,13.69,Credit Card,Regular,No,Delivery,1.72,Yes,1.53,Alex,4,Drink,Hot Drink,Sunny,Yes,No,Yes,2025-04
4/04/2025,Americano,3,3.5,11.57,Credit Card,New,Yes,Delivery,1.07,No,0,Jamie,7,Drink,Hot Drink,Sunny,No,No,No,2025-04
4/04/2025,Chai Latte,2,4.75,9.62,Mobile Pay,Regular,No,Takeaway,0.12,No,0,Alex,3,Drink,Hot Drink,Rainy,No,No,No,2025-04
4/04/2025,Cappuccino,1,4.25,5.77,Credit Card,New,No,Dine-In,1.52,No,0,Sam,3,Drink,Hot Drink,Cloudy,No,Yes,No,2025-04
4/04/2025,Chai Latte,3,4.75,14.61,Mobile Pay,New,No,Delivery,0.36,No,0,Alex,5,Drink,Hot Drink,Cloudy,No,Yes,Yes,2025-04
4/04/2025,Flat White,3,4.25,12.08,Cash,New,Yes,Dine-In,1.32,Yes,1.99,Alex,2,Drink,Hot Drink,Cloudy,No,No,No,2025-04
4/04/2025,Cappuccino,3,4.25,13.56,Mobile Pay,New,Yes,Dine-In,0.81,No,0,Jamie,7,Drink,Hot Drink,Cloudy,No,No,No,2025-04
4/04/2025,Muffin,1,2.75,4.11,Mobile Pay,Regular,Yes,Dine-In,1.36,No,0,Sam,6,Food,Pastry,Cloudy,No,No,Yes,2025-04
4/04/2025,Muffin,2,2.75,5.43,Mobile Pay,New,Yes,Takeaway,1.1,Yes,1.17,Alex,4,Food,Pastry,Rainy,No,No,No,2025-04
4/04/2025,Chai Latte,3,4.75,14.27,Mobile Pay,New,Yes,Dine-In,0.02,No,0,Jamie,5,Drink,Hot Drink,Rainy,No,Yes,Yes,2025-04
4/04/2025,Bagel,1,2.5,3.2,Credit Card,Regular,No,Dine-In,1.9,Yes,1.2,Sam,4,Food,Sandwich,Rainy,Yes,No,No,2025-04
4/04/2025,Muffin,1,2.75,4.1,Credit Card,Regular,No,Delivery,1.35,No,0,Sam,5,Food,Pastry,Sunny,No,Yes,Yes,2025-04
4/04/2025,Cold Brew,2,5,11.67,Cash,New,Yes,Takeaway,1.67,No,0,Alex,5,Drink,Cold Drink,Rainy,No,No,No,2025-04
4/04/2025,Americano,1,3.5,3.68,Credit Card,Regular,Yes,Dine-In,0.18,No,0,Alex,5,Drink,Hot Drink,Rainy,No,No,Yes,2025-04
4/04/2025,Cold Brew,1,5,3.96,Mobile Pay,New,Yes,Delivery,0.17,Yes,1.21,Alex,7,Drink,Cold Drink,Sunny,No,No,Yes,2025-04
4/04/2025,Bagel,3,2.5,7.79,Credit Card,New,Yes,Dine-In,0.29,No,0,Sam,2,Food,Sandwich,Rainy,No,Yes,No,2025-04
4/04/2025,Iced Latte,1,5,5.29,Mobile Pay,New,Yes,Takeaway,0.96,Yes,0.67,Jamie,6,Drink,Cold Drink,Rainy,No,No,No,2025-04
4/04/2025,Cold Brew,1,5,6.56,Credit Card,New,No,Delivery,1.56,No,0,Sam,7,Drink,Cold Drink,Cloudy,No,No,Yes,2025-04
4/04/2025,Cold Brew,3,5,15.01,Cash,New,Yes,Delivery,0.01,No,0,Alex,2,Drink,Cold Drink,Sunny,No,No,Yes,2025-04
4/04/2025,Espresso,3,3,8.79,Cash,New,Yes,Takeaway,0.95,Yes,1.16,Alex,7,Drink,Hot Drink,Cloudy,No,No,Yes,2025-04
4/04/2025,Croissant,2,3,5.72,Cash,New,No,Dine-In,1.1,Yes,1.38,Alex,6,Food,Pastry,Sunny,No,No,No,2025-04
4/04/2025,Bagel,1,2.5,4.16,Credit Card,Regular,No,Takeaway,1.66,No,0,Alex,2,Food,Sandwich,Cloudy,No,Yes,Yes,2025-04
4/04/2025,Espresso,2,3,7.12,Mobile Pay,New,No,Takeaway,1.12,No,0,Jamie,4,Drink,Hot Drink,Cloudy,No,Yes,No,2025-04
4/04/2025,Flat White,2,4.25,9.62,Cash,New,No,Dine-In,1.12,No,0,Alex,6,Drink,Hot Drink,Cloudy,No,Yes,No,2025-04
4/04/2025,Mocha,2,4.75,10.95,Credit Card,Regular,Yes,Delivery,1.45,No,0,Jamie,2,Drink,Hot Drink,Sunny,No,No,Yes,2025-04
4/04/2025,Cold Brew,1,5,4.69,Credit Card,New,No,Dine-In,0.69,Yes,1,Alex,5,Drink,Cold Drink,Sunny,No,No,Yes,2025-04
4/04/2025,Bagel,1,2.5,1.29,Cash,Regular,No,Takeaway,0.66,Yes,1.87,Jamie,4,Food,Sandwich,Rainy,No,Yes,Yes,2025-04
4/04/2025,Flat White,2,4.25,8.83,Mobile Pay,New,No,Delivery,0.33,No,0,Alex,2,Drink,Hot Drink,Rainy,No,No,No,2025-04
4/04/2025,Bagel,1,2.5,2.36,Credit Card,New,Yes,Dine-In,1.29,Yes,1.43,Jamie,7,Food,Sandwich,Rainy,No,Yes,No,2025-04
4/04/2025,Americano,2,3.5,7.58,Credit Card,New,Yes,Dine-In,1.43,Yes,0.85,Sam,4,Drink,Hot Drink,Sunny,No,Yes,Yes,2025-04
4/04/2025,Latte,3,4.5,15.47,Cash,Regular,Yes,Delivery,1.97,No,0,Jamie,2,Drink,Hot Drink,Cloudy,No,Yes,Yes,2025-04
5/04/2025,Bagel,1,2.5,4.47,Mobile Pay,Regular,No,Delivery,1.97,No,0,Alex,4,Food,Sandwich,Rainy,No,No,No,2025-04
5/04/2025,Chai Latte,1,4.75,6.11,Mobile Pay,New,No,Takeaway,1.36,No,0,Jamie,3,Drink,Hot Drink,Rainy,No,No,No,2025-04
5/04/2025,Espresso,3,3,8.68,Mobile Pay,New,No,Delivery,1.22,Yes,1.54,Alex,2,Drink,Hot Drink,Rainy,No,Yes,Yes,2025-04
5/04/2025,Latte,1,4.5,4.66,Cash,Regular,Yes,Dine-In,0.16,No,0,Sam,6,Drink,Hot Drink,Sunny,No,Yes,Yes,2025-04
5/04/2025,Cold Brew,3,5,16.1,Credit Card,New,Yes,Dine-In,1.1,No,0,Alex,6,Drink,Cold Drink,Rainy,No,No,Yes,2025-04
5/04/2025,Croissant,3,3,10.27,Cash,Regular,Yes,Delivery,1.27,No,0,Jamie,2,Food,Pastry,Sunny,No,No,No,2025-04
5/04/2025,Muffin,3,2.75,9.71,Credit Card,New,Yes,Delivery,1.46,No,0,Jamie,6,Food,Pastry,Sunny,No,Yes,Yes,2025-04
